No,Item,Image,Description,Categories,Price,Resto Name,City,Kecamatan,Location
12,Tenggiri Goreng,https://png.pngtree.com/thumb_back/fw800/background/20240722/pngtree-roasted-fillets-of-mackerel-fish-fried-mackerel-fish-fried-photo-image_16094822.jpg,"Ikan tenggiri yang digoreng hingga bertekstur renyah di luar dan tetap lembut di dalam. Ikan tenggiri biasanya dibumbui terlebih dahulu dengan garam, bawang putih, dan sedikit perasan jeruk untuk menghilangkan bau amis sekaligus memberikan rasa gurih. Setelah itu, ikan digoreng dalam minyak panas hingga berwarna keemasan. Tenggiri goreng sering disajikan dengan sambal atau kecap manis dan cocok dinikmati sebagai lauk bersama nasi hangat.",Makanan Laut,95000,Sate Khas Senayan,Jakarta Selatan,Kebayoran Baru,"Jl. Pakubuwono VI No.6, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120"
13,Sop Ikan,https://asset.kompas.com/crops/Wjpcwhh4NVbdHmkUQcJP5MGaZgk=/0x63:1000x730/750x500/data/photo/2021/04/01/606536aa0e635.jpg,"Sup yang terbuat dari potongan ikan segar yang dimasak dalam kaldu bening dengan bumbu seperti jahe, bawang putih, tomat, dan daun kemangi, memberikan rasa gurih dan segar.",Makanan Laut,133000,Sate Khas Senayan,Jakarta Selatan,Kebayoran Baru,"Jl. Pakubuwono VI No.6, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120"
14,Cumi Bakar Bumbu Jimbaran,https://foto.kontan.co.id/9Ukim0Sy-oRFmjWwE2ZCWI1Bq4g=/smart/2024/08/29/623194727p.jpg,"Cumi bakar bumbu Jimbaran adalah hidangan khas Bali yang terbuat dari cumi-cumi yang dibumbui dengan rempah-rempah seperti bawang, cabai, dan kemiri, kemudian dibakar hingga matang. Hidangan ini memiliki rasa pedas dan gurih, sering disajikan dengan nasi putih dan sambal.",Makanan Laut,95000,Sate Khas Senayan,Jakarta Selatan,Kebayoran Baru,"Jl. Pakubuwono VI No.6, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120"
15,Singapore Crispy Sotong,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyzUZLiCE0peVtsslkrhikgdJdKr7kQU4naw&s,"Cumi goreng tepung yang renyah, disajikan dengan bumbu khas Singapura yang gurih dan sedikit pedas, sering dipadukan dengan saus cabai atau saus kari untuk cita rasa yang kaya dan bertekstur garing.",Makanan Laut,95000,Penang Bistro,Jakarta Selatan,Kebayoran Baru,"Jl. Pakubuwono VI No.2 5, RT.5/RW.6, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120"
16,Marlin Woku,https://img-global.cpcdn.com/recipes/3a3f82cc32edc551/680x482cq70/ikan-marlin-woku-foto-resep-utama.jpg,"Hidangan khas Manado yang menggunakan ikan marlin yang dimasak dalam bumbu woku—campuran rempah seperti kemangi, daun jeruk, serai, cabai, dan kunyit—yang memberikan rasa pedas, segar, dan aromatik.",Makanan Laut,72000,Beautika,Jakarta Selatan,Kebayoran Baru,"Jl. Hang Lekir No.1 4, RT.4/RW.6, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220"
17,Gurame Pesmol,https://asset.kompas.com/crops/D910XXZRKNANJ7MGbkCklXQaurY=/0x0:698x465/750x500/data/photo/2021/01/19/6006faf925126.jpg,"Ikan gurame yang digoreng renyah dan disajikan dengan saus asam manis yang terbuat dari campuran cabai, bawang, dan bumbu lainnya.",Makanan Laut,129000,Cerita Rasa,Jakarta Selatan,Pasar Minggu,"Jl. Ampera Raya No.9, RT.4/RW.2, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560"
18,Gurame Bakar Kecap,https://i.pinimg.com/736x/83/a9/19/83a91962435b7032b0c049f77ca6e908.jpg,"Gurame bakar kecap adalah hidangan ikan gurame yang dibakar dan diolesi kecap manis, memberikan rasa manis dan gurih. Hidangan ini biasanya disajikan dengan nasi putih dan sambal.",Makanan Laut,129000,Cerita Rasa,Jakarta Selatan,Pasar Minggu,"Jl. Ampera Raya No.9, RT.4/RW.2, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560"
19,Kuwe Bakar,https://img-global.cpcdn.com/recipes/d6e355de863ba406/680x482cq70/ikan-kuwe-bakar-madu-foto-resep-utama.jpg,"Kuwe bakar adalah hidangan ikan kuwe (ikan tuna) yang dibakar dengan bumbu rempah, memberikan rasa gurih. Hidangan ini biasanya disajikan dengan nasi dan sambal.",Makanan Laut,62500,Ikan Bakar Pak Tarjo,Jakarta Selatan,Kebayoran Baru,"Jl. Tentara Pelajar No.22 1, RT.13/RW.12, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210"
20,Ikan Ayam-Ayam Bakar,https://www.finnafood.com/blog/wp-content/uploads/2024/07/ikan-ayam-ayam-bakar.webp,"Ikan ayam-ayam bakar adalah hidangan yang terbuat dari ikan ayam-ayam, sejenis ikan air tawar yang memiliki daging tebal. Ikan ini dibumbui dengan rempah-rempah, kemudian dibakar hingga matang dan beraroma harum. Hidangan ini biasanya disajikan dengan nasi, sambal, dan lalapan, menjadikannya pilihan yang populer dalam masakan Indonesia.",Makanan Laut,90000,Ikan Bakar Pak Tarjo,Jakarta Selatan,Kebayoran Baru,"Jl. Tentara Pelajar No.22 1, RT.13/RW.12, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210"
21,Nasi Uduk,https://images.tokopedia.net/img/JFrBQq/2023/11/27/55614199-0fa6-4fbb-9803-d45f6b9afc68.png,"Nasi Uduk merupakan salah satu hidangan sarapan paling terkenal di Jakarta. Bagaimana rasanya? Bayangkan nasi yang dimasak dengan santan, kemudian disajikan dengan lauk-pauk yang beraneka ragam. Kamu bisa menikmatinya bersama ayam goreng, tempe, tahu, dan sambal kacang yang khas. Hidangan ini memiliki rasa gurih yang nikmat dan aroma harum santan yang tak tertandingi. Bagi penduduk Jakarta, Nasi uduk adalah pilihan sarapan yang paling tepat untuk memulai hari dengan penuh energi.",Makanan Tradisional,18000,Warung Sarapan Ncing Mamat,Jakarta Selatan,Tebet,"Jl. Kp. Melayu Besar 1, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830"
22,Soto Betawi,https://images.tokopedia.net/img/JFrBQq/2024/5/30/b75730d0-83b4-44fb-ad3f-f94b3855ea96.png,"Soto betawi adalah sajian soto yang kaya akan cita rasa dan aroma. Kuahnya terbuat dari santan yang lezat dan diisi dengan potongan daging sapi, hati, limpa, dan babat yang empuk. Toppers, jangan lupa tambahkan potongan tomat, emping, bawang goreng, dan perkedel kentang. Yang membuat Soto Betawi semakin istimewa adalah kehadiran kerupuk gendar yang memberikan sensasi renyah yang unik.",Makanan Tradisional,20000,Warung Sarapan Ncing Mamat,Jakarta Selatan,Tebet,"Jl. Kp. Melayu Besar 1, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830"
23,Ketoprak,https://images.tokopedia.net/img/JFrBQq/2023/11/27/dc5f1625-f789-4184-83a7-f15daa543c34.png,"Ketoprak adalah pilihan tepat bagi kamu yang mencari hidangan vegetarian yang lezat. Hidangan ini terdiri dari ketupat, tahu goreng, bihun, sayuran segar, dan saus kacang yang begitu merangsang selera. Sensasi renyah dari kerupuk juga tak boleh dilewatkan. Selain lezat, Ketoprak juga merupakan hidangan yang sehat dan cocok untuk kamu yang peduli dengan pola makan.",Makanan Tradisional,18000,Warung Sarapan Ncing Mamat,Jakarta Selatan,Tebet,"Jl. Kp. Melayu Besar 1, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830"
24,Kerak Telor,https://images.tokopedia.net/img/JFrBQq/2023/11/27/b663ed86-4807-4c72-a36a-f7636fdc2aa2.png,"Kerak telor adalah makanan khas Betawi yang unik. Terbuat dari campuran beras ketan, telur ayam, ebi (udang kering), dan bawang merah goreng, hidangan ini menghadirkan lapisan kerak yang renyah di luar dan rasa yang gurih di dalamnya. Bagi para penikmat makanan tradisional, Kerak Telor adalah wajib dicoba ketika mengunjungi Jakarta, terutama di kawasan Kota Tua.",Makanan Tradisional,32000,KERAK TELOR BANG DHORY,Jakarta Selatan,Pancoran,"Jl. Wr. Jati Bar. IV, RT.14/RW.5, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740"
25,Gado-gado,https://images.tokopedia.net/img/JFrBQq/2023/11/27/8eff20db-7c35-488e-839c-ae7e47ca030a.png,"Gado-gado merupakan hidangan salad khas Indonesia yang juga sangat populer di Jakarta. Hidangan ini menggabungkan sayuran segar seperti kentang, tahu, tempe, dan kangkung yang disajikan dengan saus kacang yang lezat. Tidak lupa, tambahkan kerupuk dan telur rebus untuk pengalaman menyantap yang lebih lengkap. Rasanya yang segar dan saus kacang yang kental membuat Gado-gado selalu menjadi pilihan yang tepat, terutama saat cuaca panas.",Makanan Tradisional,18000,Warung Sarapan Ncing Mamat,Jakarta Selatan,Tebet,"Jl. Kp. Melayu Besar 1, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830"
26,Roti Buaya,https://images.tokopedia.net/img/JFrBQq/2023/11/27/b658e8c1-ae1c-4131-a7a9-b425a31c3ede.png,"Roti buaya adalah makanan ringan manis yang populer di Jakarta. Namanya unik, seperti bentuknya yang menyerupai kulit buaya. Roti ini terbuat dari adonan yang digoreng hingga berwarna cokelat keemasan dan dilapisi gula halus. Rasanya manis, renyah di luar, dan lembut di dalam. Roti Buaya sering dijadikan teman minum teh atau kopi, dan kamu bisa menemukannya di berbagai penjual kaki lima di Jakarta.",Makanan Tradisional,50000,Aqilla Bakery,Jakarta Selatan,Kebayoran Lama,"Jl. Musholla Faturrahman 2 no.11C disamping musholla Faturrahman, RT.2/RW.4, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 11560"
27,Asinan Betawi,https://images.tokopedia.net/img/JFrBQq/2023/11/27/6f493744-8565-4399-bab7-7c01a553a026.png,"Asinan betawi adalah hidangan sayuran segar yang disajikan dengan saus kacang yang lezat. Sayuran yang digunakan bervariasi, termasuk tauge, kol, kentang, dan selada air. Saus kacangnya yang kental dan gurih memberikan sentuhan khas pada hidangan ini. Terkadang, Asinan Betawi juga dihidangkan dengan kerupuk dan emping. Hidangan ini cocok untuk kamu yang ingin mencicipi kelezatan sayuran dengan cita rasa khas Jakarta.",Makanan Tradisional,20000,SI BUHUN,Jakarta Selatan,Kebayoran Baru,"Jl. Panglima Polim II, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160"
28,Kue Cucur,https://images.tokopedia.net/img/JFrBQq/2023/11/27/b718f1c9-bb03-4aca-bc75-f4f5a9c7e17f.png,"Kue cucur adalah camilan tradisional yang terbuat dari adonan tepung beras yang digoreng hingga berwarna cokelat keemasan. Rasanya manis dengan sedikit rasa gurih. Kue ini sering dijadikan teman minum kopi atau teh, dan bisa kamu temukan di berbagai penjual kaki lima di Jakarta. Selain itu, kue cucur juga sering hadir dalam acara-acara tradisional dan perayaan di ibu kota.",Makanan Tradisional,3000,Aqilla Bakery,Jakarta Selatan,Kebayoran Lama,"Jl. Musholla Faturrahman 2 no.11C disamping musholla Faturrahman, RT.2/RW.4, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 11560"
29,Soto Tangkar,https://images.tokopedia.net/img/JFrBQq/2023/11/27/eee4bc86-cf92-43ee-81ef-21986cc4f8e8.png,"Soto tangkar adalah varian soto khas Jakarta yang menggoda selera. Kuahnya yang gurih terbuat dari santan dan daging sapi yang dimasak hingga empuk. Hidangan ini disajikan dengan ketupat, telur rebus, dan bawang goreng. Yang membuat Soto tangkar istimewa adalah potongan daging sapi yang besar dan lezat. Ketika kamu mencicipinya, kamu akan merasakan kelezatan daging yang terasa meleleh di mulut.",Makanan Tradisional,22000,Soto Tangkar Kang Jaja,Jakarta Selatan,Jagakarsa,"Jl. Moch. Kahfi II No.12e, RT.10/RW.4, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630"
30,Putu Mayang,https://images.tokopedia.net/img/JFrBQq/2023/11/27/22072bf0-2621-4227-8da1-67ff5460bbb3.png,"Putu Mayang adalah hidangan penutup manis yang sangat populer. Terbuat dari adonan tepung beras yang dicetak menjadi bentuk panjang dan tipis, kemudian disajikan dengan gula merah cair dan kelapa parut. Rasanya manis, legit, dan memiliki aroma harum gula merah. Putu Mayang sering dijadikan hidangan penutup dalam berbagai acara, dan kamu juga bisa menemukannya di berbagai warung kopi tradisional di Jakarta.",Makanan Tradisional,4000,Aqilla Bakery,Jakarta Selatan,Kebayoran Lama,"Jl. Musholla Faturrahman 2 no.11C disamping musholla Faturrahman, RT.2/RW.4, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 11560"
31,Pecak Ikan,https://images.tokopedia.net/img/JFrBQq/2024/5/30/649ed06c-59e5-47a3-b41a-57f4d08d8efa.png,Pecak ikan jadi salah satu menu umum yang bisa kamu temukan di restoran Betawi. Pecak ikan biasanya menggunakan jenis ikan sungai atau air tawar. Pecak ikan ini terdiri dari ikan goreng dengan sajian kuah rempah bercitarasa pedas dan segar.,Makanan Tradisional,21000,Pecak Ikan H. Muhayar,Jakarta Selatan,Pasar Minggu,"Jl. Taman Margasatwa Raya No.9 18A, RT.9/RW.5, Jati Padang, Pasar Minggu, South Jakarta City, Jakarta 12540"
32,Sayur Babanci,https://images.tokopedia.net/img/JFrBQq/2024/5/30/a2c6e598-da8e-489e-8204-c28750b9ae82.png,"Sayur Babanci biasanya dimakan bersamaan dengan ketupat. Sering dihadirkan saat lebaran, sayur ini menjadi hidangan ikonik dari Betawi yang kini mulai jarang ditemui. Sayur babanci merupakan hidangan berkuah dengan campuran daging sapi dan kelapa parut, dimasak dengan bumbu khas Betawi yang kaya akan rempah.",Makanan Tradisional,20000,Warung Sarapan Ncing Mamat,Jakarta Selatan,Tebet,"Jl. Kp. Melayu Besar 1, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830"
33,Nasi Ulam,https://images.tokopedia.net/img/JFrBQq/2024/5/30/8eb400cc-4fde-4293-861d-8ec35c71165a.png,"Nasi Ulam merupakan nasi yang dicampur dengan berbagai bumbu dan rempah, kemudian disajikan dengan lauk seperti ayam goreng, tahu, tempe, dan sambal yang menggugah selera.",Makanan Tradisional,23000,Warung Sarapan Ncing Mamat,Jakarta Selatan,Tebet,"Jl. Kp. Melayu Besar 1, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830"
34,Sayur Asem Betawi,https://images.tokopedia.net/img/JFrBQq/2024/5/30/931f5a9d-ea8a-46a1-86ad-0f8e7eb35df6.png,"Sayur asem betawi merupakan sayur berkuah asam dengan isian sayuran, seperti jagung, melinjo, kacang panjang, kacang tanah, dan labu siam dengan tambahan asam jawa. Sayur asem betawi ini sangat cocok jadi hidangan harian di rumah, karena mengandung banyak nutrisi yang dibutuhkan oleh keluarga.",Makanan Tradisional,20000,Sayur Asem Betawi Bang Achenk,Jakarta Selatan,Cilandak,"Jl. Persatuan No.21 6, RT.6/RW.9, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430"
35,Kue Ape,https://images.tokopedia.net/img/JFrBQq/2024/5/30/81263e90-58c2-47d0-bccd-05428ce7f303.png,"Namanya diambil dari kata ""Ape"" yang berarti ""Apa"". Diberi nama kue ape lantaran orang di zaman dulu tidak mengetahui nama kue yang satu ini. Makanan ini sering disajikan di berbagai acara seperti pernikahan atau perayaan lainnya. Kue ape terbuat dari tepung beras dan santan dengan warna hijau terang. Berbentuk bulat dengan pinggiran yang renyah dan bagian tengah yang empuk, membuatnya jadi camilan bersantai yang menyenangkan.",Makanan Tradisional,2000,Aqilla Bakery,Jakarta Selatan,Kebayoran Lama,"Jl. Musholla Faturrahman 2 no.11C disamping musholla Faturrahman, RT.2/RW.4, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 11560"
36,Rujak Juhi,https://images.tokopedia.net/img/JFrBQq/2024/5/30/c6fa8ffb-a0a9-47fd-9b3c-e8e147f529f7.png,"Rujak Juhi merupakan perpaduan dua budaya Tionghoa dan Betawi. Juhi memiliki arti sotong atau cumi yang telah melalui proses pengeringan. Adapun rujak juhi ini berisikan buah-buahan, mie, soun, kecambah, dan sawi.",Makanan Tradisional,18000,SI BUHUN,Jakarta Selatan,Kebayoran Baru,"Jl. Panglima Polim II, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160"
37,Kue Talam,https://images.tokopedia.net/img/JFrBQq/2024/5/30/e61e8622-bd9b-47af-bacd-6c26b71c9dcb.png,"Kue talam merupakan salah satu jenis camilan tradisional yang masih banyak digemari hingga saat ini. Kue yang satu ini memiliki cita rasa manis dan gurih dengan warna yang beragam. Masuk ke dalam kelompok kue basah, kue talam bisa kamu temukan di pasar tradisional Jakarta.",Makanan Tradisional,3000,Aqilla Bakery,Jakarta Selatan,Kebayoran Lama,"Jl. Musholla Faturrahman 2 no.11C disamping musholla Faturrahman, RT.2/RW.4, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 11560"
38,Tape Uli,https://images.tokopedia.net/img/JFrBQq/2024/5/30/d594f7cb-8140-4200-9ecf-078681ebf1f1.png,"Tape Uli merupakan makanan khas Jakarta. Hidangan ini terbuat dari paduan tape, ketan hitam, dan uli alias beras ketan kukus. Jika dimakan bersamaa, kamu akan merasakan sensasi rasa manis dan asam yang sangat sempurna.",Makanan Tradisional,15000,Aqilla Bakery,Jakarta Selatan,Kebayoran Lama,"Jl. Musholla Faturrahman 2 no.11C disamping musholla Faturrahman, RT.2/RW.4, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 11560"
39,Kue Rangi,https://images.tokopedia.net/img/JFrBQq/2024/5/30/b9b8715b-9621-4386-874a-9736a684a335.png,"Kue Rangi terbuat dari campuran tepung kanji atau sagu yang dicampurkan dengan kelapa parut, lalu dipanggang dengan tungku kecil. Kue rangi baisanya disajikan dengan olesan gula merah yang kental dengan sedikit tepung kanji.",Makanan Tradisional,4000,Aqilla Bakery,Jakarta Selatan,Kebayoran Lama,"Jl. Musholla Faturrahman 2 no.11C disamping musholla Faturrahman, RT.2/RW.4, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 11560"
40,Bubur Ase,https://images.tokopedia.net/img/JFrBQq/2024/5/30/97b9a0c3-6510-48f9-b7a0-d1c4ed8a8700.png,"Bubur Ase umumnya dibuat dengan resep turun temurun, sehingga tidak semua orang bisa membuatnya. Bubur ase mungkin mirip dengan bubur nasi biasa, namun bubur ase dilengkapi dengan tetelan, kentang, tahu, dan disiram dengan kuah semur. Kuah iniilah yang dsebut dengan ""ase"". Selain itu, biasanya bubur ini juga dilengkapi dengan taburan teri dan asinan yang membuatnya semakin menggugah selera.",Makanan Tradisional,23000,Warung Sarapan Ncing Mamat,Jakarta Selatan,Tebet,"Jl. Kp. Melayu Besar 1, Bukit Duri, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830"
